julian_day,time,wind_speed,solar_radiation,relative_humidity,air_temp,canopy_temp_mean,soil_temp,water_content_mean,water_potential_mean
104,0.458333333333333,2.62,348.5,0.778,12.65,17.0983333333333,8.8,28.904536,-25.3659452519744
104,0.46875,2.57,509.1,0.782,13.05,20.1616666666667,8.8,28.90356625,-25.3538687487362
104,0.479166666666667,3.23,395.1,0.775,13.35,18.7983333333333,8.8,28.900657,-25.3538687487362
104,0.489583333333333,3.4,408.7,0.752,13.41,18.8383333333333,8.8,28.90356625,-25.3508513604749
104,0.5,2.87,460.6,0.74,13.65,19.9666666666667,8.8,28.89968725,-25.3478346669131
104,0.510416666666667,2.39,497.5,0.738,13.8,21.4733333333333,8.8,28.90162675,-25.3478346669131
104,0.520833333333333,2.97,547.1,0.749,14.27,22.3783333333333,8.8,28.90356625,-25.3478346669131
104,0.53125,2.46,607.5,0.749,14.58,24.225,8.8,28.90162675,-25.3478346669131
104,0.541666666666667,3.62,598.9,0.781,15.12,23.9033333333333,8.8,28.9025965,-25.3478346669131
104,0.552083333333333,3.49,563,0.755,15.13,23.5816666666667,8.8,28.90550575,-25.3478346669131
104,0.5625,3.39,452,0.768,15.21,21.9333333333333,8.8,28.8948385,-25.3478346669131
104,0.572916666666667,3.16,468,0.757,15.18,21.9333333333333,8.8,28.90162675,-25.3478346669131
104,0.583333333333333,4.89,638.1,0.783,15.57,23.5866666666667,8.8,28.89774775,-25.3478346669131
104,0.59375,4.89,810.8,0.798,16.33,26.8933333333333,8.8,28.90162675,-25.3478346669131
104,0.604166666666667,4.69,614.7,0.76,15.91,23.8816666666667,8.8,28.89774775,-25.3478346669131
104,0.614583333333333,3.63,546.4,0.753,15.8,23.55,8.8,28.89968725,-25.3478346669131
104,0.625,4.33,614.6,0.785,16.21,24.6716666666667,8.8,28.900657,-25.3478346669131
104,0.635416666666667,4.12,497.5,0.787,16.21,23.1333333333333,8.8,28.89580825,-25.3478346669131
104,0.645833333333333,3.89,501.7,0.81,16.17,23.345,8.8,28.892899,-25.3478346669131
104,0.65625,4.49,399.2,0.793,15.83,20.5316666666667,8.8,28.8948385,-25.3478346669131
104,0.666666666666667,4.7,508.3,0.792,16.45,22.4633333333333,8.8,28.89386875,-25.3478346669131
104,0.677083333333333,5.03,415.3,0.766,16.11,20.4,8.8,28.8948385,-25.3478346669131
104,0.6875,4.61,441.9,0.749,16.15,20.8533333333333,8.8,28.8909595,-25.3478346669131
104,0.697916666666667,5.63,416.5,0.754,16.06,20.055,8.8,28.8948385,-25.3478346669131
104,0.708333333333333,4.63,278.7,0.765,15.85,18.05,8.8,28.8909595,-25.3478346669131
104,0.71875,6.34,385.5,0.729,15.86,18.815,8.8,28.8909595,-25.3478346669131
